Name,Display Name,Translated Display Name [es],Group,Translated Group [es],Description,Translated Description [es],Success Description,Translated Success Description [es],Failure Description,Translated Failure Description [es],Entry 1,Translated Entry [1],Entry 2,Translated Entry [2],Entry 3,Translated Entry [3],Entry 4,Translated Entry [4],Entry 5,Translated Entry [5],Entry 6,Translated Entry [6],Entry 7,Translated Entry [7]
AliceLab,,,,,,,,,,,Turn off the electric floor.,Apaga el suelo eléctrico.,Stop the mutation process.,Detén el proceso de mutación.,Open the door to Kevin's cage.,Abre la puerta de la jaula de Kevin.,Find the pages in the cage.,Encuentra las páginas en la jaula.,Escape the lab from the slide.,Escapa del laboratorio por el tobogán.,,,,
AliceLunch,,,,,,,,,,,Open the empty classroom.,Abre el aula vacía.,Hide in the pot.,Escóndete en la maceta.,Tell Alice about the pit.,Cuéntale a Alice sobre el pozo.,,,,,,,,
AliceMorningTime,,,,,,,,,,,Pick up your daughter from school.,Recoge a tu hija de la escuela.,Bring your child home.,Lleva a tu hija a casa.,Get a calculator.,Consigue una calculadora.,Do homework with your child.,Haz la tarea con tu hija.,,,,,,
AliceRecess,,,,,,,,,,,Shoot Booboo with the arrow.,Dispara a Booboo con la flecha.,Save Austin from the bunny.,Salva a Austin del conejo.,Run over Booboo.,Atropella a Booboo.,Get Alice from the Alcove,Lleva a Alice desde la Alcoba.,Use the remote to access the lab.,Usa el control remoto para acceder al laboratorio.,,,,
AliceSchoolyard,,,,,,,,,,,Get Alice her diary.,Consigue el diario de Alice.,Get Austin to help Alice.,Haz que Austin ayude a Alice.,,,,,,,,,,
CarlaLunch,,,,,,,,,,,EscapeLunch,Escapa del almuerzo.,UnlockClassroom,Desbloquea el aula.,OpenVent,Abre el conducto de ventilación.,,,,,,,,
CarlaMorningTime,,,,,,,,,,,GrowBeanstalk,Haz crecer la planta de frijol.,GiveJackBook,Dale el libro a Jack.,,,,,,,,,,
CarlaSchoolyard,,,,,,,,,,,Escape from Stevie.,Escapa de Stevie.,,,,,,,,,,,,
CarlaStudyHall,,,,,,,,,,,Escape the library while Carla distracts Stevie and Monty.,Escapa de la biblioteca mientras Carla distrae a Stevie y Monty.,Get the key to the janitor's closet from Mr. Scippio.,Consigue la llave del armario del conserje de parte del Sr. Scippio.,Open the vent in the janitor's closet and return to study hall.,Abre el conducto de ventilación en el armario del conserje y regresa a la sala de estudio.,,,,,,,,
CindyBludgeon,,,,,,,,,,,,,,,,,,,,,,,,
DaveyLunch,,,Davey,Davey,,,,,,,Steal the scalpel from the nurse's office.,Roba el bisturí de la enfermería.,Find a way back into the library.,,Cut the power to the trap door in the principal's office.,,,,,,,,,
DaveyMorningTime,,,Davey,,,,,,,,Get the axe out of the case.,,Find someone to play grandma.,,Find a red sheet.,,Cure Nugget,,,,,,,
DaveyRecess,,,Davey,,,,,,,,Get back inside.,,Get Monty to move.,,Get the axe.,,Get Austin to throw the rock at the window.,,,,,,,
DaveySchoolyard,,,Davey,,,,,,,,Defend Linda's honor by confronting the janitor.,,Ask the teacher to put on the Little Red Riding Hood play.,,Recruit someone to play Little Red. Riding Hood.,,,,,,,,,
EmmyLunch,,,Emmy,,,,,,,,,,,,,,,,,,,,,
